TotalLoad,OtherLoad,HVACLoad,Ambient,Humidity,DOW,TOD,ClgSP,KitchenClgSP,GuestClgSP,HtgSP,KitchenHtgSP,GuestHtgSP,SupplyAirSP,ChwSP
215494.76009,108873.08910,106621.67099,  22.75000,  39.50000,   1.00000,  12.50000,  22.98125,  24.98125,  22.98125,  21.00000,  19.00000,  21.00000,  12.49063,   5.17188
162769.67122,108872.24386,53897.42736,  23.02500,  38.75000,   1.00000,  12.75000,  24.89590,  26.89590,  24.89590,  21.00000,  19.00000,  21.00000,  13.44795,   8.04385
208236.22226,108899.92675,99336.29551,  23.30000,  38.00000,   1.00000,  13.00000,  23.28119,  25.28119,  23.28119,  21.00000,  19.00000,  21.00000,  12.64059,   5.62178
203034.91023,108893.69974,94141.21049,  23.30000,  38.50000,   1.00000,  13.25000,  23.37961,  25.37961,  23.37961,  21.00000,  19.00000,  21.00000,  12.68980,   5.76941
154548.97123,108894.15384,45654.81739,  23.30000,  39.00000,   1.00000,  13.50000,  25.34955,  27.34955,  25.34955,  21.00000,  19.00000,  21.00000,  13.67478,   8.72433
152139.11792,108905.55022,43233.56770,  23.30000,  39.50000,   1.00000,  13.75000,  25.52401,  27.52401,  25.52401,  21.00000,  19.00000,  21.00000,  13.76200,   8.98601
203611.14847,108909.81184,94701.33664,  23.30000,  40.00000,   1.00000,  14.00000,  24.00654,  26.00654,  24.00654,  21.00000,  19.00000,  21.00000,  13.00327,   6.70982
249225.88525,108890.90390,140334.98135,  23.45000,  39.25000,   1.00000,  14.25000,  22.16102,  24.16102,  22.16102,  21.00000,  19.00000,  21.00000,  12.08051,   3.94154
171979.78040,108866.52565,63113.25475,  23.60000,  38.50000,   1.00000,  14.50000,  24.63846,  26.63846,  24.63846,  21.00000,  19.00000,  21.00000,  13.31923,   7.65769
200737.88429,108906.63434,91831.24995,  23.75000,  37.75000,   1.00000,  14.75000,  23.65893,  25.65893,  23.65893,  21.00000,  19.00000,  21.00000,  12.82946,   6.18839
